V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_350	O75594	8.57e-48	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	Homo sapiens (Human)	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; biological process involved in interaction with host [GO:0051701]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of inflammatory response [GO:0050728]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; negative regulation of type II interferon production [GO:0032689]; peptidoglycan catabolic process [GO:0009253]	GO:0005576; GO:0008270; GO:0008745; GO:0009253; GO:0016019; GO:0016045; GO:0031640; GO:0032689; GO:0032827; GO:0035580; GO:0042834; GO:0045087; GO:0050728; GO:0050830; GO:0051701; GO:0061844; GO:0070062; GO:0097013; GO:1904724
Ab_contig_354	Q4U3L0	5.3e-29	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12)	Glossina morsitans morsitans (Savannah tsetse fly)	glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0015630; GO:0050661; GO:0051287
Ab_contig_363	G1TTY7	6.13e-50	NA	NA	NA	NA
Ab_contig_364	P27080	1.1e-27	ADP,ATP carrier protein (ADP/ATP translocase) (Adenine nucleotide translocator) (ANT)	Chlamydomonas reinhardtii (Chlamydomonas smithii)	mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]	GO:0005471; GO:0005743; GO:0140021; GO:1990544
Ab_contig_371	O75506	6.5e-29	Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)	Homo sapiens (Human)	axonal transport of mitochondrion [GO:0019896]; cellular heat acclimation [GO:0070370]; negative regulation of transcription by RNA polymerase II [GO:0000122]	GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0005829; GO:0019896; GO:0042802; GO:0070370; GO:1904115
Ab_contig_372	P42577	4.15e-70	Soma ferritin (EC 1.16.3.1)	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	GO:0004322; GO:0005737; GO:0006826; GO:0006879; GO:0008199
Ab_contig_374	P10994	7.79e-43	Actin, alpha skeletal muscle	Pleurodeles waltl (Iberian ribbed newt)		GO:0005524; GO:0005737; GO:0005856
Ab_contig_376	Q92113	3.21e-30	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)	Squalus acanthias (Spiny dogfish)	steroid biosynthetic process [GO:0006694]	GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0020037; GO:0047442
Ab_contig_380	Q5ZKC9	4.95e-46	14-3-3 protein zeta	Gallus gallus (Chicken)	angiogenesis [GO:0001525]; ERK1 and ERK2 cascade [GO:0070371]; lung development [GO:0030324]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein targeting [GO:0006605]; regulation of cell death [GO:0010941]; respiratory system process [GO:0003016]; signal transduction [GO:0007165]; synaptic target recognition [GO:0008039]; tube formation [GO:0035148]	GO:0000122; GO:0001525; GO:0003016; GO:0005615; GO:0005634; GO:0005737; GO:0006605; GO:0007165; GO:0008039; GO:0010941; GO:0019904; GO:0030324; GO:0035148; GO:0050815; GO:0070371; GO:0098686; GO:0140311
Ab_contig_381	Q90YV2	4.73e-53	60S ribosomal protein L15	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	translation [GO:0006412]	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:1990904
Ab_contig_385	P62315	3.22e-30	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	Mus musculus (Mouse)	mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]	GO:0000243; GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005737; GO:0005829; GO:0034709; GO:0034715; GO:0034719; GO:0046540; GO:0071005; GO:0071007; GO:0071011; GO:0071013; GO:0097526; GO:1990446
Ab_contig_399	P49149	1.86e-31	60S ribosomal protein L3	Toxocara canis (Canine roundworm)	translation [GO:0006412]	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:1990904
Ab_contig_410	P33727	3.98e-22	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Felis catus (Cat) (Felis silvestris catus)	colon epithelial cell migration [GO:0061580]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]	GO:0003943; GO:0005764; GO:0009986; GO:0010632; GO:0010976; GO:0046872; GO:0061580
Ab_contig_411	Q6P011	1.76e-58	ER membrane protein complex subunit 4 (Transmembrane protein 85)	Danio rerio (Zebrafish) (Brachydanio rerio)	protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]	GO:0005789; GO:0016020; GO:0045050; GO:0071816; GO:0072546
Ab_contig_413	A3QU28	7.67e-65	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	Epiperipatus biolleyi (Velvet worm) (Peripatus biolleyi)	respiratory electron transport chain [GO:0022904]	GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872
Ab_contig_414	Q7ZXP8	7.44e-52	NA	NA	NA	NA
Ab_contig_420	P28648	4.25e-23	CD63 antigen (Mast cell antigen AD1) (CD antigen CD63)	Rattus norvegicus (Rat)	cell migration [GO:0016477]; cell-matrix adhesion [GO:0007160]; endosome to melanosome transport [GO:0035646]; epithelial cell differentiation [GO:0030855]; negative regulation of epithelial cell migration [GO:0010633]; pigment cell differentiation [GO:0050931]; pigment granule maturation [GO:0048757]; pigmentation [GO:0043473]; positive regulation of cell adhesion [GO:0045785]; positive regulation of endocytosis [GO:0045807]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of receptor internalization [GO:0002092]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of potassium ion transmembrane transport [GO:1901379]; regulation of vascular endothelial growth factor signaling pathway [GO:1900746]	GO:0002092; GO:0005615; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0005886; GO:0007160; GO:0008104; GO:0009986; GO:0010008; GO:0010633; GO:0015031; GO:0016020; GO:0016477; GO:0030855; GO:0031902; GO:0031904; GO:0032585; GO:0032991; GO:0035646; GO:0042470; GO:0043473; GO:0044877; GO:0045785; GO:0045807; GO:0048757; GO:0050931; GO:0070062; GO:0097487; GO:1900746; GO:1901379; GO:2001046
Ab_contig_429	Q9TGE6	4.93e-32	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Loligo forbesii (Veined squid)	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
Ab_contig_440	P00125	1.35e-74	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)	Bos taurus (Bovine)	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005739; GO:0005743; GO:0005750; GO:0006122; GO:0008121; GO:0020037; GO:0046872
Ab_contig_449	Q5RCT0	6.66e-23	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	oxidative phosphorylation [GO:0006119]	GO:0005743; GO:0006119; GO:0045277
Ab_contig_467	P13497	9.75e-34	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Homo sapiens (Human)	cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; collagen fibril organization [GO:0030199]; dorsal/ventral pattern formation [GO:0009953]; ossification [GO:0001503]; positive regulation of cartilage development [GO:0061036]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	GO:0001501; GO:0001502; GO:0001503; GO:0004222; GO:0004252; GO:0005125; GO:0005509; GO:0005576; GO:0005615; GO:0005794; GO:0006508; GO:0008083; GO:0008233; GO:0008237; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0030199; GO:0031982; GO:0042802; GO:0061036
Ab_contig_467	P13497	5.36e-29	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	Homo sapiens (Human)	cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; collagen fibril organization [GO:0030199]; dorsal/ventral pattern formation [GO:0009953]; ossification [GO:0001503]; positive regulation of cartilage development [GO:0061036]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	GO:0001501; GO:0001502; GO:0001503; GO:0004222; GO:0004252; GO:0005125; GO:0005509; GO:0005576; GO:0005615; GO:0005794; GO:0006508; GO:0008083; GO:0008233; GO:0008237; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0030199; GO:0031982; GO:0042802; GO:0061036
Ab_contig_473	Q5RBI3	7.7e-26	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)		GO:0005838; GO:0022624
Ab_contig_481	O01666	6.84e-35	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	Drosophila melanogaster (Fruit fly)	proton motive force-driven ATP synthesis [GO:0015986]	GO:0000275; GO:0005739; GO:0005756; GO:0015986; GO:0046933
Ab_contig_483	Q5R710	4.59e-42	Heat shock protein HSP 90-beta	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of transforming growth factor beta activation [GO:1901389]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of cell cycle [GO:0051726]	GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005886; GO:0016887; GO:0019899; GO:0030511; GO:0032435; GO:0034751; GO:0042470; GO:0046983; GO:0051082; GO:0051726; GO:0120293; GO:0140662; GO:1901389
Ab_contig_484	Q6NVI7	9.26e-22	Galectin-related protein (Lectin galactoside-binding-like protein)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)		GO:0030246
Ab_contig_497	Q9CY50	2.86e-55	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)	Mus musculus (Mouse)		GO:0005783; GO:0005789
Ab_contig_508	P29957	7.13e-21	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pseudoalteromonas haloplanktis (Alteromonas haloplanktis)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005576; GO:0005975; GO:0046872
Ab_contig_519	Q02926	1.19e-31	Ribonucleoprotein RB97D	Drosophila melanogaster (Fruit fly)	cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]	GO:0003729; GO:0007283; GO:0030154
Ab_contig_525	B3EWZ9	1.27e-22	Hephaestin-like protein (EC 1.-.-.-)	Acropora millepora (Staghorn coral) (Heteropora millepora)	copper ion transport [GO:0006825]	GO:0005507; GO:0005576; GO:0006825; GO:0016020; GO:0016491
Ab_contig_531	Q34949	3.9e-67	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	Lumbricus terrestris (Common earthworm)	ATP synthesis coupled electron transport [GO:0042773]	GO:0008137; GO:0031966; GO:0042773; GO:0070469
Ab_contig_533	Q9GMB0	8.57e-46	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Sus scrofa (Pig)	protein N-linked glycosylation via asparagine [GO:0018279]	GO:0008250; GO:0018279; GO:0042470
Ab_contig_539	Q8WR62	2.01e-29	Vitelline envelope sperm lysin receptor	Haliotis rufescens (California red abalone)	sperm-egg recognition [GO:0035036]	GO:0005576; GO:0005886; GO:0035036; GO:0060388
Ab_contig_545	Q5ZJF4	4.84e-77	Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx)	Gallus gallus (Chicken)	cell redox homeostasis [GO:0045454]; lipid catabolic process [GO:0016042]	GO:0004623; GO:0005615; GO:0005739; GO:0005764; GO:0005829; GO:0016042; GO:0045454; GO:0047184; GO:0051920
Ab_contig_552	Q37546	4.54e-114	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	Lumbricus terrestris (Common earthworm)		GO:0005743; GO:0008137; GO:0070469
Ab_contig_553	P46967	9.34e-55	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad1 (Oligosaccharyl transferase subunit dad1) (Defender against cell death 1) (DAD-1)	Xenopus laevis (African clawed frog)	apoptotic process [GO:0006915]; protein glycosylation [GO:0006486]	GO:0006486; GO:0006915; GO:0008250
Ab_contig_554	Q9N2W7	1.83e-41	Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (NADH-ubiquinone oxidoreductase 17.0 kDa subunit)	Caenorhabditis elegans	mitochondrial respiratory chain complex I assembly [GO:0032981]; response to oxidative stress [GO:0006979]	GO:0005739; GO:0005747; GO:0006979; GO:0032981
Ab_contig_560	T1SH39	3.89e-28	Thioredoxin domain-containing protein 17 (14 kDa thioredoxin-related protein) (TRP14)	Epinephelus coioides (Orange-spotted grouper) (Epinephelus nebulosus)		GO:0004601; GO:0005829; GO:0047134
Ab_contig_568	P23659	1.47e-35	Endoglucanase Z (EC 3.2.1.4) (Avicelase I) (Endo-1,4-beta-glucanase) (Thermoactive cellulase)	Thermoclostridium stercorarium (Clostridium stercorarium)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_573	O43451	3.84e-32	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004553; GO:0004558; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0032450; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_573	O43451	1.47e-29	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004553; GO:0004558; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0032450; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_573	O43451	1.17e-27	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	Homo sapiens (Human)	dextrin catabolic process [GO:1901027]; maltose catabolic process [GO:0000025]; starch catabolic process [GO:0005983]	GO:0000025; GO:0003824; GO:0004339; GO:0004553; GO:0004558; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0032450; GO:0070062; GO:0070821; GO:0101003; GO:1901027
Ab_contig_589	Q8ISN9	1.82e-40	40S ribosomal protein S25	Branchiostoma belcheri (Amphioxus)		GO:0005840; GO:1990904
Ab_contig_595	P49609	5.7e-39	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	Gracilaria gracilis (Red alga)	tricarboxylic acid cycle [GO:0006099]	GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0047780; GO:0051539
Ab_contig_599	P70665	6.91e-54	Sialate O-acetylesterase (EC 3.1.1.53) (Sialic acid-specific 9-O-acetylesterase) (Yolk sac protein 2) [Cleaved into: Sialate O-acetylesterase small subunit; Sialate O-acetylesterase large subunit]	Mus musculus (Mouse)	carbohydrate metabolic process [GO:0005975]; regulation of immune system process [GO:0002682]	GO:0001681; GO:0002682; GO:0005764; GO:0005975; GO:0106330; GO:0106331
Ab_contig_603	Q5TGZ0	4.35e-32	MICOS complex subunit MIC10 (Mitochondrial inner membrane organizing system protein 1)	Homo sapiens (Human)	cristae formation [GO:0042407]; inner mitochondrial membrane organization [GO:0007007]	GO:0001401; GO:0005739; GO:0007007; GO:0042407; GO:0044284; GO:0061617; GO:0140275
Ab_contig_609	O75489	8.62e-64	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of cell growth [GO:0030308]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; substantia nigra development [GO:0021762]	GO:0003954; GO:0005739; GO:0005743; GO:0005747; GO:0005759; GO:0006120; GO:0008137; GO:0009055; GO:0009060; GO:0016604; GO:0021762; GO:0030308; GO:0031966; GO:0032981; GO:0042776; GO:0072593; GO:2001243
Ab_contig_625	Q0MQB1	1.03e-33	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Pan troglodytes (Chimpanzee)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	GO:0005739; GO:0005747; GO:0005758; GO:0006120; GO:0032981; GO:0044877
Ab_contig_632	Q02401	1.05e-75	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Rattus norvegicus (Rat)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; response to nickel cation [GO:0010045]; response to nutrient [GO:0007584]; response to organic substance [GO:0010033]; response to starvation [GO:0042594]; response to sucrose [GO:0009744]; response to xenobiotic stimulus [GO:0009410]	GO:0000016; GO:0001666; GO:0004336; GO:0004348; GO:0005903; GO:0005990; GO:0007584; GO:0008422; GO:0009410; GO:0009725; GO:0009744; GO:0010033; GO:0010040; GO:0010045; GO:0010288; GO:0015926; GO:0016740; GO:0017042; GO:0042594; GO:0042803; GO:0043627; GO:0045471; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_632	Q02401	5.71e-59	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Rattus norvegicus (Rat)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; response to nickel cation [GO:0010045]; response to nutrient [GO:0007584]; response to organic substance [GO:0010033]; response to starvation [GO:0042594]; response to sucrose [GO:0009744]; response to xenobiotic stimulus [GO:0009410]	GO:0000016; GO:0001666; GO:0004336; GO:0004348; GO:0005903; GO:0005990; GO:0007584; GO:0008422; GO:0009410; GO:0009725; GO:0009744; GO:0010033; GO:0010040; GO:0010045; GO:0010288; GO:0015926; GO:0016740; GO:0017042; GO:0042594; GO:0042803; GO:0043627; GO:0045471; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_632	Q02401	1.78e-37	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Rattus norvegicus (Rat)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; response to nickel cation [GO:0010045]; response to nutrient [GO:0007584]; response to organic substance [GO:0010033]; response to starvation [GO:0042594]; response to sucrose [GO:0009744]; response to xenobiotic stimulus [GO:0009410]	GO:0000016; GO:0001666; GO:0004336; GO:0004348; GO:0005903; GO:0005990; GO:0007584; GO:0008422; GO:0009410; GO:0009725; GO:0009744; GO:0010033; GO:0010040; GO:0010045; GO:0010288; GO:0015926; GO:0016740; GO:0017042; GO:0042594; GO:0042803; GO:0043627; GO:0045471; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_637	Q95M17	7.13e-68	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	Bos taurus (Bovine)	apoptotic process [GO:0006915]; chitin catabolic process [GO:0006032]; immune system process [GO:0002376]; polysaccharide catabolic process [GO:0000272]; positive regulation of chemokine production [GO:0032722]; production of molecular mediator involved in inflammatory response [GO:0002532]	GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0032722
Ab_contig_642	Q8WPJ2	3.85e-23	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (Beta-mannanase) (Endo-beta-1,4-mannanase) (Man5A) (ManA)	Mytilus edulis (Blue mussel)	mannan catabolic process [GO:0046355]	GO:0016985; GO:0046355
Ab_contig_646	Q6YHK3	1.95e-104	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)	Homo sapiens (Human)	hair follicle development [GO:0001942]; keratinocyte proliferation [GO:0043616]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of peptidase activity [GO:0010466]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of wound healing [GO:0061045]; osteoclast fusion [GO:0072675]; protein phosphorylation [GO:0006468]; regulation of keratinocyte differentiation [GO:0045616]; stem cell proliferation [GO:0072089]	GO:0001933; GO:0001942; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0006468; GO:0009986; GO:0010466; GO:0010839; GO:0030512; GO:0031092; GO:0043616; GO:0045616; GO:0050431; GO:0061045; GO:0072089; GO:0072675; GO:2000647
Ab_contig_654	P49591	5.61e-25	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Homo sapiens (Human)	cytoplasmic translation [GO:0002181]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor production [GO:1904046]; selenocysteine incorporation [GO:0001514]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]; translation [GO:0006412]	GO:0000049; GO:0000122; GO:0000978; GO:0001514; GO:0002181; GO:0004828; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006412; GO:0006434; GO:0016525; GO:0019899; GO:0042803; GO:0070062; GO:0097056; GO:0098619; GO:1904046
Ab_contig_662	Q5BKQ4	1.05e-83	Inactive pancreatic lipase-related protein 1 (PL-RP1)	Mus musculus (Mouse)	lipid metabolic process [GO:0006629]	GO:0004806; GO:0005509; GO:0005615; GO:0006629; GO:0016298
Ab_contig_663	Q61847	5.03e-31	Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B)	Mus musculus (Mouse)	inflammatory response [GO:0006954]; proteolysis [GO:0006508]; toxin transport [GO:1901998]	GO:0004222; GO:0005576; GO:0005886; GO:0006508; GO:0006954; GO:0008270; GO:0016020; GO:0017090; GO:0042802; GO:1901998
Ab_contig_682	Q5NVR2	4.38e-68	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	aerobic respiration [GO:0009060]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	GO:0005759; GO:0006099; GO:0006108; GO:0009060; GO:0030060; GO:0042803
Ab_contig_686	O43776	1.91e-50	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	Homo sapiens (Human)	asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]; tRNA aminoacylation for protein translation [GO:0006418]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
Ab_contig_693	O57592	5.78e-32	60S ribosomal protein L7a (Surfeit locus protein 3)	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	ribosome biogenesis [GO:0042254]	GO:0005737; GO:0005840; GO:0042254; GO:1990904
Ab_contig_708	P50429	1.13e-52	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	Mus musculus (Mouse)	anterior head development [GO:0097065]; autophagy [GO:0006914]; central nervous system development [GO:0007417]; chondroitin sulfate catabolic process [GO:0030207]; colon epithelial cell migration [GO:0061580]; dermatan sulfate catabolic process [GO:0030209]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]; response to estrogen [GO:0043627]; response to methylmercury [GO:0051597]; response to nutrient [GO:0007584]; response to pH [GO:0009268]	GO:0003943; GO:0004065; GO:0005739; GO:0005764; GO:0005791; GO:0005794; GO:0006914; GO:0007417; GO:0007584; GO:0008484; GO:0009268; GO:0009986; GO:0010632; GO:0010976; GO:0030207; GO:0030209; GO:0043627; GO:0043890; GO:0046872; GO:0051597; GO:0061580; GO:0097065
